"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM","# of Units","Change Date"
"","","COMP23107290","487","INC","S","150  N MOUNTAIN AVE ","CLAREMONT","8","8.00 (8 0 0 0)","3,959","$3,043.70","$12,050,000","$12,050,000","","16,225","1969","0","4","03/06/2023"
"","","COMP23107293","487","INC","S","120  N MOUNTAIN AVE ","CLAREMONT","8","8.00 (8 0 0 0)","3,959","$3,043.70","$12,050,000","$12,050,000","","16,597","1969","0","4","03/06/2023"
"","","COMP23107312","487","INC","S","109  N CAMBRIDGE AVE ","CLAREMONT","10","10.00 (10 0 0 0)","4,931","$2,443.72","$12,050,000","$12,050,000","","25,586","1969","0","5","03/06/2023"
"","","COMP23107350","487","INC","S","130  N MOUNTAIN AVE ","CLAREMONT",""," (0 0 0 0)","990","$12,171.72","$12,050,000","$12,050,000","","21,622","1969","0","","03/06/2023"
"","","COMP23107351","487","INC","S","119  N CAMBRIDGE AVE ","CLAREMONT","10","10.00 (10 0 0 0)","4,931","$2,443.72","$12,050,000","$12,050,000","","19,756","1969","0","5","03/06/2023"
"","","COMP23107441","469","INC","S","556  N EAST END AVE ","POMONA","4","2.00 (2 0 0 0)","1,864","$386.27","$720,000","$720,000","","7,771","1940","0","2","03/07/2023"
"","","COMP23107662","469","INC","S","1657   ALAMEDA ST ","POMONA","16","10.00 (10 0 0 0)","7,546","$291.55","$2,200,000","$2,200,000","","14,532","1958","0","10","03/07/2023"
"","","COMP23107890","469","INC","S","2452   ANGELA ST ","POMONA","8","5.00 (5 0 0 0)","3,818","$282.87","$1,080,000","$1,080,000","","7,727","1963","0","4","03/07/2023"
"","","COMP23108841","469","INC","S","935   PAINTER CT ","POMONA","12","6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","13,053","1964","0","6","03/07/2023"
"","","COMP23109107","469","INC","S","500   SAN FRANCISCO AVE ","POMONA","20","14.00 (14 0 0 0)","10,188","$196.31","$2,000,000","$2,000,000","","14,681","1964","0","13","03/07/2023"
"","","COMP23109164","469","INC","S","750  E 3RD ST ","POMONA","287","239.00 (239 0 0 0)","179,704","$831.37","$149,400,000","$149,400,000","","331,702","1987","0","280","03/07/2023"
"","","COMP23109846","469","INC","S","1306   PACKARD DR ","POMONA","12","6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","13,213","1964","0","6","03/07/2023"
"","","COMP23109920","469","INC","S","1936   ROYALTY DR ","POMONA","4","2.00 (2 0 0 0)","2,016","$1,829.12","$3,687,500","$3,687,500","","7,363","1963","0","2","03/07/2023"
"","","COMP23110637","469","INC","S","252  W WILLOW ST ","POMONA","4","2.00 (2 0 0 0)","1,576","$456.85","$720,000","$720,000","","8,022","1946","0","2","03/07/2023"
"","","COMP23111103","469","INC","S","1542   HOLLY WAY ","POMONA","8","4.00 (4 0 0 0)","4,400","$1,709.09","$7,520,000","$7,520,000","","9,833","1964","0","4","03/07/2023"
"","","COMP23111854","469","INC","S","1925   ROYALTY DR #27","POMONA","4","4.00 (4 0 0 0)","1,976","$1,866.14","$3,687,500","$3,687,500","","7,372","1963","0","2","03/07/2023"
"","","COMP23112265","469","INC","S","1506   HOLLY WAY ","POMONA","8","4.00 (4 0 0 0)","4,400","$1,709.09","$7,520,000","$7,520,000","","11,280","1964","0","4","03/07/2023"
"","","COMP23112308","469","INC","S","795  N PARK AVE ","POMONA","7","4.00 (4 0 0 0)","3,153","$158.58","$500,000","$500,000","","13,016","1910","0","4","03/07/2023"
"","","COMP23112975","469","INC","S","938  E GRAND AVE ","POMONA","6","3.00 (3 0 0 0)","2,662","$9,485.35","$25,250,000","$25,250,000","","7,781","1964","0","3","03/07/2023"
"","","COMP23113386","487","INC","S","765   BAYLOR AVE ","CLAREMONT",""," (0 0 0 0)","7,624","$695.17","$5,300,000","$5,300,000","","24,582","1955","0","11","03/07/2023"
"","","COMP23114037","469","INC","S","696   WISCONSIN ST ","POMONA","6","5.00 (5 0 0 0)","3,177","$629.52","$2,000,000","$2,000,000","","7,062","1960","0","5","03/07/2023"
"","","COMP23114386","469","INC","S","559   LINCOLN AVE ","POMONA","7","5.00 (5 0 0 0)","3,164","$211.76","$670,000","$670,000","","14,572","1923","0","4","03/07/2023"
"","","COMP23114539","469","INC","S","903   PAINTER CT ","POMONA","18","9.00 (9 0 0 0)","7,734","$3,264.80","$25,250,000","$25,250,000","","19,196","1964","0","9","03/07/2023"
"","","COMP23114619","469","INC","S","1333   PACKARD DR ","POMONA","18","9.00 (9 0 0 0)","7,860","$3,212.47","$25,250,000","$25,250,000","","19,185","1964","0","9","03/07/2023"
"","","COMP23114883","469","INC","S","2385   CHANSLOR ST ","POMONA","8","5.00 (5 0 0 0)","3,916","$197.91","$775,000","$775,000","","7,434","1964","0","4","03/07/2023"
"","","COMP23115776","469","INC","S","309  N GORDON ST ","POMONA","1","1.00 (1 0 0 0)","560","$1,558.93","$873,000","$873,000","","8,205","1923","0","1","03/07/2023"
"","","COMP23115779","469","INC","S","1043  E GRAND AVE ","POMONA","2","2.00 (2 0 0 0)","1,296","$420.52","$545,000","$545,000","","15,086","1926","0","2","03/07/2023"
"","","COMP23115962","487","INC","S","755   BAYLOR AVE ","CLAREMONT","6","5.00 (5 0 0 0)","3,806","$1,392.54","$5,300,000","$5,300,000","","12,448","1954","0","5","03/07/2023"
"","","COMP23116356","469","INC","S","1003  S HAMILTON BLVD ","POMONA","9","6.00 (6 0 0 0)","3,320","$180.72","$600,000","$600,000","","10,074","1989","0","3","03/07/2023"
"","","COMP23116421","469","INC","S","1934   BOBOLINK WAY ","POMONA","4","2.00 (2 0 0 0)","2,016","$1,829.12","$3,687,500","$3,687,500","","7,183","1963","0","2","03/07/2023"
"","","COMP23116755","469","INC","S","1079  N PARK AVE ","POMONA","4","4.00 (4 0 0 0)","2,570","$238.13","$612,000","$612,000","","12,582","1947","0","4","03/07/2023"
"","","COMP23116779","469","INC","S","902  E GRAND AVE ","POMONA","12","6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","12,545","1964","0","6","03/07/2023"
"","","COMP23117052","469","INC","S","1362  S GIBBS ST ","POMONA","11","6.00 (6 0 0 0)","5,142","$223.65","$1,150,000","$1,150,000","","19,897","1918","0","5","03/07/2023"
"","","COMP23117358","469","INC","S","1336   PACKARD DR ","POMONA","12","6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","13,717","1964","0","6","03/07/2023"
"","","COMP23117729","469","INC","S","1304   PACKARD DR ","POMONA","6","3.00 (3 0 0 0)","2,662","$9,485.35","$25,250,000","$25,250,000","","6,740","1964","0","3","03/07/2023"
"","","COMP23118284","469","INC","S","1079   PATTERSON ST ","POMONA","8","4.00 (4 0 0 0)","4,400","$1,709.09","$7,520,000","$7,520,000","","8,960","1964","0","4","03/07/2023"
"","","COMP23118360","469","INC","S","1518   HOLLY WAY ","POMONA","8","4.00 (4 0 0 0)","4,400","$1,709.09","$7,520,000","$7,520,000","","9,858","1964","0","4","03/07/2023"
"","","COMP23119281","469","INC","S","1554   HOLLY WAY ","POMONA","8","4.00 (4 0 0 0)","4,400","$1,709.09","$7,520,000","$7,520,000","","9,789","1964","0","4","03/07/2023"
"","","COMP23119389","469","INC","S","1458   PACKARD DR ","POMONA","12","6.00 (6 0 0 0)","5,072","$4,978.31","$25,250,000","$25,250,000","","16,725","1964","0","6","03/07/2023"
"","","COMP23119578","469","INC","S","708   WISCONSIN ST ","POMONA","4","3.00 (3 0 0 0)","2,220","$900.90","$2,000,000","$2,000,000","","7,025","1961","0","3","03/07/2023"
"","","COMP23120380","469","INC","S","934  E GRAND AVE ","POMONA","12","6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","12,329","1964","0","6","03/07/2023"
"","","COMP23120394","469","INC","S","654  E 12TH ST ","POMONA","2","2.00 (2 0 0 0)","1,112","$494.60","$550,000","$550,000","","6,180","1928","0","2","03/07/2023"
"","","COMP23120445","469","INC","S","1301   PACKARD DR ","POMONA","12","6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","13,026","1964","0","6","03/07/2023"
"","","COMP23120446","469","INC","S","1431   PACKARD DR ","POMONA","24","12.00 (12 0 0 0)","10,648","$2,371.34","$25,250,000","$25,250,000","","27,326","1964","0","12","03/07/2023"
"","","COMP23120813","469","INC","S","1379  S GIBBS ST ","POMONA","7","4.00 (4 0 0 0)","3,360","$372.02","$1,250,000","$1,250,000","","19,852","1958","0","3","03/07/2023"
"","","COMP23120895","469","INC","S","548  W CENTER ST ","POMONA","5","5.00 (5 0 0 0)","4,378","$142.76","$625,000","$625,000","","9,335","1925","0","5","03/07/2023"
"","","COMP23120942","469","INC","S","774  N GORDON ST ","POMONA","16","16.00 (16 0 0 0)","10,524","$1,209.62","$12,730,000","$12,730,000","","14,373","1964","0","16","03/07/2023"
"","","COMP23120987","487","INC","S","320   STANFORD DR ","CLAREMONT","13","11.00 (11 0 0 0)","6,786","$442.09","$3,000,000","$3,000,000","","19,353","1956","0","11","03/07/2023"
"","","COMP23121195","469","INC","S","934   PAINTER CT ","POMONA","12","6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","17,038","1964","0","6","03/07/2023"
"","","COMP23121289","469","INC","S","310  E ALVARADO ST ","POMONA","4","6.00 (6 0 0 0)","4,488","$289.66","$1,300,000","$1,300,000","","9,237","1910","0","6","03/07/2023"
