"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM","# of Units","Change Date"
"","31","CV17231681MR","1382","INC","S","25248   Van Leuven ST ","LOMA LINDA","","4.00 (0 0 0 0)","3,880","$167.53","$649,999","$645,000","","4,650","1965","21","4","01/03/2018"
"","1","IV17241152MR","1382","INC","S","10942   RINCON ST ","LOMA LINDA","","4.00 (0 0 0 0)","3,448","$221.87","$765,000","$765,000","$0.00","8,925","1977","56","4","01/08/2018"
"","23","EV17273220MR","1640","INC","S","22  N Michigan ST ","REDLANDS","","4.00 (0 0 0 0)","2,672","$275.07","$735,000","$700,000","$0.00","11,920","1959","9","3","01/27/2018"
"","5","OC17269571MR","1640","INC","S","120  W Olive AVE #1-K","REDLANDS","","3.00 (0 0 0 0)","3,080","$233.44","$719,000","$710,000","","8,400","1940","28","5","02/09/2018"
"","33","EV18011144MR","1640","INC","S","130   Norwood ST ","REDLANDS","","3.00 (0 0 0 0)","2,000","$212.50","$425,000","$433,000","","9,000","1926","4","2","03/01/2018"
"","1","IV17179810MR","1382","INC","S","25382   Park AVE ","LOMA LINDA","","1.00 (0 0 0 0)","1,419","$225.51","$320,000","$310,000","","18,952","1965","30","3","03/05/2018"
"","2","AR17234077MR","1640","INC","S","1118   Post ST ","REDLANDS","","7.00 (0 0 0 0)","4,006","$152.02","$609,000","$614,000","","12,004","1985","64","4","03/08/2018"
"","2","EV18019929MR","1640","INC","S","301 305  La Paloma ST ","REDLANDS","","2.00 (0 0 0 0)","1,640","$219.21","$359,500","$343,840","","8,450","1955","1","2","03/30/2018"
"","15","EV17157882MR","1382","INC","S","24665   Stewart ST ","LOMA LINDA","","3.00 (0 0 0 0)","2,437","$245.79","$599,000","$570,000","$0.00","10,725","1922","217","3","04/08/2018"
"","1","OC18096364MR","1640","INC","S","1029   Washington ST ","REDLANDS","","4.00 (0 0 0 0)","2,100","$232.86","$489,000","$487,500","","9,720","1905","0","2","04/26/2018"
"","16","CV18020230MR","1666","INC","S","1476  S MOUNTAIN VIEW AVE ","SAN BERNARDINO","","5.00 (0 0 0 0)","3,029","$214.26","$649,000","$659,000","$0.00","30,163","1948","30","5","05/09/2018"
"","14","IV18046103MR","1640","INC","S","1301  E Central AVE ","REDLANDS","","2.00 (0 0 0 0)","2,382","$188.50","$449,000","$425,000","$0.00","9,625","1901","28","0","05/09/2018"
"","27","TR18078109MR","1640","INC","S","1130   Cero CT ","REDLANDS",""," (0 0 0 0)","4,224","$150.33","$635,000","$638,000","","11,000","1965","27","4","05/16/2018"
"","37","IG18074296MR","1640","INC","S","610  E Lugonia AVE ","REDLANDS","","7.00 (0 0 0 0)","4,006","$171.62","$687,500","$691,000","$360.00","13,200","1985","14","4","05/18/2018"
"","35","EV18085432MR","1640","INC","S","9  E Fern AVE ","REDLANDS","","4.00 (0 0 0 0)","2,508","$245.22","$615,000","$615,000","","8,000","1952","11","0","06/09/2018"
"","10","IV18069751MR","2081","INC","S","1140   Tribune ST ","REDLANDS","","7.00 (0 0 0 0)","4,008","$170.91","$685,000","$680,000","$360.00","12,765","1981","40","4","06/11/2018"
"","9","PW18098051MR","1640","INC","S","722  E State ST ","REDLANDS","","3.00 (0 0 0 0)","1,350","$259.19","$349,900","$350,000","$0.00","4,760","1930","2","3","06/18/2018"
"","24","EV18126142MR","1640","INC","S","328   Sonora ST ","REDLANDS","","4.00 (0 0 0 0)","1,800","$250","$450,000","$450,000","$0.00","7,500","1903","7","2","07/10/2018"
"","9","CV17152171MR","1382","INC","S","25528   Lane ST ","LOMA LINDA","","4.00 (0 0 0 0)","2,320","$256.47","$595,000","$585,000","","13,529","1946","321","3","07/10/2018"
"","47","IV18099841MR","1382","INC","S","11222   Benton ST ","LOMA LINDA","","3.00 (0 0 0 0)","2,947","$208.69","$615,000","$610,000","","7,200","1963","11","3","07/11/2018"
