"Open Houses","Change Date","Change Type","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","09/18/2025","Leased","11","25577673","1627","LSE","LD","11450   Church St #114","Rancho Cucamonga","2","2.00 (2 0 0 0)","1,092","$2.47","$2,695","$2,795","","1,092","2004","37"
"","09/05/2025","Leased","15","82013670ML","2081","LSE","LD","141   Eureka PL ","Upland","3","2.00 (2 0 1 0)","1,497","$1.95","$2,925","$2,925","","0","2017","60"
"","07/24/2025","Leased","21","AR25105187MR","469","LSE","LD","1185  W Grand  #3","POMONA","3","3.00 (3 0 0 0)","1,600","$1.66","$2,650","$2,650","$0.00","24,773","2020","2"
"","09/08/2025","Leased","19","AR25128532MR","1455","LSE","LD","9412   Shadowood DR #C","MONTCLAIR","2","3.00 (1 0 1 1)","1,152","$2.26","$2,600","$2,600","","1,369","1980","77"
"","08/25/2025","Leased","23","AR25148811MR","1627","LSE","LD","8167   Vineyard AVE #54","RANCHO CUCAMONGA","2","3.00 (2 0 1 0)","1,086","$2.30","$2,500","$2,500","","1,086","1987","54"
"","07/30/2025","Leased","16","AR25155462MR","469","LSE","LD","831   Sunburst WAY #13","POMONA","3","4.00 (3 0 1 0)","1,850","$1.84","$3,400","$3,400","","28,108","2016","18"
"","09/19/2025","Leased","34","AR25168973MR","1627","LSE","LD","7325   Belpine PL #26","RANCHO CUCAMONGA","3","3.00 (2 0 1 0)","1,224","$2.37","$2,900","$2,900","","1,300","1989","52"
"","09/02/2025","Leased","16","AR25189267MR","1795","LSE","LD","168   Royal WAY ","UPLAND","2","3.00 (2 0 1 0)","1,149","$2.18","$2,500","$2,500","","759","2016","7"
"","09/19/2025","Leased","26","AR25216160MR","1543","LSE","LD","3551   Indigo Privado  ","ONTARIO","4","3.00 (2 0 1 0)","1,645","$2.24","$3,690","$3,890","","88,888","2025","6"
"","08/20/2025","Leased","16","CV25066113MR","1455","LSE","LD","4505   Canoga  #B","MONTCLAIR","2","2.00 (1 0 1 0)","975","$2.46","$2,400","$2,200","","975","1965","83"
"","07/21/2025","Leased","10","CV25087701MR","1543","LSE","LD","4061  E Luna Paseo  #32","ONTARIO","4","4.00 (3 0 1 0)","2,202","$1.59","$3,500","$3,500","","601","2023","87"
"","07/09/2025","Leased","28","CV25091687MR","487","LSE","LD","1006   Newberry LN ","CLAREMONT","3","3.00 (1 1 1 0)","1,750","$2.09","$3,650","$3,650","$272.00","39,763","2020","68"
"","08/05/2025","Leased","16","CV25100601MR","487","LSE","LD","690   Huron PL ","CLAREMONT","3","3.00 (3 0 0 0)","1,685","$2.11","$3,550","$3,550","","20,683","2016","62"
"","08/01/2025","Leased","30","CV25105798MR","1795","LSE","LD","880  N Campus AVE #D","UPLAND","3","2.00 (1 0 1 0)","1,380","$1.88","$2,600","$2,600","$0.00","1,380","1958","71"
"","07/17/2025","Leased","22","CV25110064MR","1627","LSE","LD","8475   Cherry Blossom ST ","RANCHO CUCAMONGA","3","3.00 (2 0 1 0)","1,601","$2.00","$3,200","$3,050","","1,400","1983","25"
"","08/06/2025","Leased","38","CV25113156MR","487","LSE","LD","556  W Baseline RD ","CLAREMONT","3","3.00 (3 0 0 0)","1,580","$2.15","$3,400","$3,400","","16,061","2020","75"
"","08/01/2025","Leased","36","CV25114970MR","487","LSE","LD","928   Heritage CT ","CLAREMONT","3","3.00 (2 0 1 0)","1,510","$2.38","$3,600","$4,000","","14,785","2014","35"
"","07/08/2025","Leased","25","CV25116629MR","487","LSE","LD","728  W 1st ST ","CLAREMONT","2","2.00 (2 0 0 0)","1,605","$1.99","$3,200","$3,200","","22,702","2004","36"
"","07/06/2025","Leased","27","CV25120248MR","487","LSE","LD","606   Asbury DR ","CLAREMONT","3","3.00 (3 0 0 0)","1,430","$2.55","$3,650","$3,650","$295.00","36,483","2006","13"
"","07/29/2025","Leased","19","CV25124150MR","1795","LSE","LD","811   Orchid CT #F","UPLAND","2","1.00 (1 0 0 0)","830","$2.59","$2,150","$2,150","$0.00","18,070","1963","56"
"","07/03/2025","Leased","13","CV25132499MR","1795","LSE","LD","160   Wiseman WAY #B","UPLAND","2","1.00 (1 0 0 0)","950","$2.32","$2,200","$2,200","$0.00","950","1985","14"
"","08/29/2025","Leased","14","CV25132530MR","1543","LSE","LD","1558   N Hope AVE #D","ONTARIO","2","1.00 (1 0 0 0)","858","$1.98","$1,700","$1,700","$0.00","858","1965","63"
"","07/29/2025","Leased","8","CV25136896MR","1627","LSE","LD","8331   Vineyard AVE #1","RANCHO CUCAMONGA","2","2.00 (2 0 0 0)","866","$2.19","$1,900","$1,900","","","1988","15"
"","08/18/2025","Leased","36","CV25144878MR","1627","LSE","LD","9814   Ladera CT ","RANCHO CUCAMONGA","3","3.00 (2 0 1 0)","1,480","$1.93","$2,850","$2,800","","2,000","1984","24"
"","09/02/2025","Leased","15","CV25145055MR","1795","LSE","LD","811   Orchid CT #J","UPLAND","2","2.00 (2 0 0 0)","830","$2.77","$2,300","$2,300","$0.00","18,070","1963","56"
"","08/03/2025","Leased","20","CV25145130MR","469","LSE","LD","223   Aurora LN ","POMONA","3","3.00 (3 0 0 0)","1,497","$2.20","$3,300","$3,300","","1,500","2025","31"
"","08/12/2025","Leased","20","CV25147240MR","1627","LSE","LD","6936   Laguna PL #A","RANCHO CUCAMONGA","3","2.00 (2 0 0 0)","1,211","$2.31","$2,800","$2,800","","1,500","1985","20"
"","09/06/2025","Leased","7","CV25148836MR","1627","LSE","LD","8990   19th ST #268","RANCHO CUCAMONGA","1","1.00 (1 0 0 0)","494","$3.74","$1,850","$1,850","","522","1981","42"
"","07/24/2025","Leased","11","CV25149843MR","487","LSE","LD","450   Grinnell DR ","CLAREMONT","1","1.00 (1 0 0 0)","716","$2.65","$1,900","$1,950","$0.00","716","1948","7"
"","08/01/2025","Leased","20","CV25153754MR","469","LSE","LD","960   Bonita  #54","POMONA","1","1.00 (1 0 0 0)","680","$2.72","$1,850","$1,850","","","1979","8"
"","08/08/2025","Leased","21","CV25155110MR","487","LSE","LD","908   Grove CT ","CLAREMONT","3","3.00 (2 0 1 0)","1,510","$2.15","$3,250","$3,250","","31,118","2014","29"
"","08/12/2025","Leased","17","CV25159745MR","1543","LSE","LD","308  N Camellia AVE #B","ONTARIO","2","2.00 (1 0 1 0)","900","$2.44","$2,200","$2,200","$0.00","900","1964","22"
"","08/11/2025","Leased","19","CV25160485MR","1627","LSE","LD","10151   Arrow  #132","RANCHO CUCAMONGA","1","1.00 (1 0 0 0)","708","$2.82","$1,995","$2,000","","708","1986","6"
"","07/24/2025","Leased","31","CV25162334MR","1543","LSE","LD","932  N Turner AVE #48","ONTARIO","3","2.00 (2 0 0 0)","1,382","$2.24","$3,100","$3,100","","1,492","1991","1"
"","09/18/2025","Leased","15","CV25165551MR","1543","LSE","LD","1614  S Campus AVE #E","ONTARIO","3","2.00 (1 0 1 0)","1,189","$2.10","$2,500","$2,500","$0.00","1,189","1989","24"
"","09/16/2025","Leased","12","CV25166317MR","487","LSE","LD","602   Asbury DR ","CLAREMONT","2","4.00 (2 0 2 0)","1,430","$2.38","$3,400","$3,400","","36,483","2006","51"
"","08/18/2025","Leased","11","CV25167701MR","1543","LSE","LD","1200  S San Antonio AVE #7","ONTARIO","2","2.00 (2 0 0 0)","872","$2.06","$1,800","$1,800","$0.00","51,401","1986","12"
"","09/04/2025","Leased","22","CV25174223MR","1543","LSE","LD","2003  S Mountain AVE #5","ONTARIO","2","3.00 (2 0 1 0)","1,107","$2.39","$2,650","$2,650","","1,107","1985","32"
"","08/29/2025","Leased","29","CV25176458MR","1627","LSE","LD","11229   Terra Vista PKWY #D","RANCHO CUCAMONGA","3","3.00 (2 0 1 0)","1,417","$2.26","$3,200","$3,100","","2,535","1994","16"
"","09/02/2025","Leased","18","CV25177273MR","487","LSE","LD","541   Wayland CT ","CLAREMONT","2","3.00 (2 1 0 0)","1,500","$1.93","$2,900","$2,900","","1,627","1981","14"
"","09/12/2025","Leased","39","CV25192240MR","1627","LSE","LD","10375   Church ST ","RANCHO CUCAMONGA","3","3.00 (2 0 1 0)","1,546","$2.04","$3,150","$3,150","","2,000","2008","5"
"","09/09/2025","Leased","30","CV25199864MR","1455","LSE","LD","4997   Adera ST ","MONTCLAIR","4","3.00 (2 0 1 0)","2,111","$1.63","$3,450","$3,500","","1,000","2018","4"
"","09/16/2025","Leased","9","CV25201328MR","469","LSE","LD","751  S Towne AVE #757","POMONA","1","1.00 (1 0 0 0)","600","$2.92","$1,750","$1,750","$0.00","7,445","1954","9"
"","08/02/2025","Leased","25","DW25137466MR","469","LSE","LD","254  W Grove ST #4","POMONA","2","1.00 (1 0 0 0)","1,100","$2.27","$2,495","$2,500","","90,369","1979","45"
"","07/16/2025","Leased","26","IG25133554MR","1543","LSE","LD","926   Philadelphia ST #98","ONTARIO","2","3.00 (2 0 1 0)","983","$2.34","$2,300","$2,300","","983","1990","33"
