"Open Houses","Change Date","Change Type","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","03/01/2021","Leased","11","AR21026233MR","1640","LSE","LD","815  E High AVE #1/2","REDLANDS","0","1.00 (1 0 0 0)","384","$3.63","$1,395","$1,395","$0.00","10,320","1902","18"
"","02/26/2021","Leased","11","AR21026276MR","1640","LSE","LD","815  E High AVE ","REDLANDS","1","1.00 (1 0 0 0)","400","$3.38","$1,350","$1,350","$0.00","10,320","1902","13"
"","03/11/2021","Leased","30","CV21006148MR","1640","LSE","LD","1510   Orange AVE #1102","REDLANDS","3","3.00 (2 0 1 0)","1,600","$1.63","$2,600","$2,600","","1,141","2009","50"
"","08/27/2021","Leased","18","CV21176358MR","1640","LSE","LD","1235   Tribune ST ","REDLANDS","3","3.00 (2 0 0 1)","1,760","$1.42","$2,500","$2,500","$0.00","2,500","2006","17"
"","03/12/2021","Leased","31","EV20219746MR","1640","LSE","LD","1510   Orange AVE #1301","REDLANDS","2","3.00 (2 0 1 0)","1,693","$1.48","$2,500","$2,500","","1,142","2009","46"
"","03/05/2021","Leased","10","EV20264224MR","1640","LSE","LD","357  W Grant ST #A","REDLANDS","1","1.00 (1 0 0 0)","750","$1.80","$1,350","$1,350","$0.00","5,850","1950","57"
"","01/23/2021","Leased","18","EV21007186MR","1640","LSE","LD","1555   Orange AVE #702","REDLANDS","3","3.00 (2 0 1 0)","1,314","$1.67","$2,200","$2,200","","1,550","2006","11"
"","02/12/2021","Leased","7","EV21019165MR","1640","LSE","LD","1023   Herald ST ","REDLANDS","1","1.00 (1 0 0 0)","600","$2.21","$1,325","$1,275","$0.00","6,521","1917","14"
"","03/12/2021","Leased","23","EV21036172MR","1640","LSE","LD","120  W Vine ST #7","REDLANDS","2","1.00 (1 0 0 0)","1,000","$2.10","$2,100","$2,100","$0.00","6,500","1902","18"
"","03/10/2021","Leased","17","EV21037895MR","1640","LSE","LD","1510   Orange AVE #1301","REDLANDS","3","3.00 (2 0 1 0)","1,693","$1.59","$2,700","$2,650","","1,142","2009","1"
"","04/07/2021","Leased","16","EV21056720MR","1640","LSE","LD","2061   Redlands BLVD #15B","REDLANDS","2","2.00 (2 0 0 0)","1,190","$1.51","$1,800","$1,800","","","1997","1"
"","04/06/2021","Leased","10","EV21064421MR","1431","LSE","LD","1365   Crafton AVE #1123","MENTONE","1","1.00 (1 0 0 0)","716","$1.96","$1,400","$1,400","","897","1991","10"
"","04/01/2021","Leased","9","EV21064425MR","1431","LSE","LD","1365   Crafton AVE #1016","MENTONE","1","1.00 (1 0 0 0)","716","$1.96","$1,400","$1,400","","897","1991","4"
"","04/11/2021","Leased","25","EV21067355MR","1640","LSE","LD","25885   Sunrise WAY ","REDLANDS","3","3.00 (2 0 1 0)","1,438","$1.60","$2,300","$2,300","","1,438","1987","10"
"","04/13/2021","Leased","13","EV21070528MR","1640","LSE","LD","605   Cajon ST ","REDLANDS","1","1.00 (1 0 0 0)","600","$2.25","$1,350","$1,350","$0.00","11,725","1920","7"
"","05/10/2021","Leased","14","EV21089948MR","1640","LSE","LD","26200   Redlands BLVD #146","REDLANDS","2","2.00 (2 0 0 0)","994","$1.61","$1,600","$1,600","","3,268","1981","12"
"","05/09/2021","Leased","20","EV21090705MR","1382","LSE","LD","25635   Prospect AVE ","LOMA LINDA","2","3.00 (2 0 1 0)","1,060","$1.89","$2,000","$2,000","","1,500","2001","4"
"","05/28/2021","Leased","15","EV21093634MR","1640","LSE","LD","972   Ardmore CIR ","REDLANDS","3","2.00 (2 0 0 0)","1,362","$1.54","$2,100","$2,100","","1,362","1986","18"
