"Open Houses","Change Date","Change Type","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","01/25/2019","Leased","10","AR19005472MR","1640","LSE","LD","26200   Redlands BLVD #167","REDLANDS","1","1.00 (1 0 0 0)","715","$1.54","$1,100","$1,100","$279.00","3,267","1981","18"
"","04/30/2019","Leased","7","CV19067279MR","1640","LSE","LD","1341   Church ST #1","REDLANDS","2","2.00 (2 0 0 0)","848","$1.83","$1,550","$1,550","","848","1985","25"
"","06/10/2019","Leased","20","CV19105245MR","1640","LSE","LD","1341   Church ST #1","REDLANDS","2","2.00 (2 0 0 0)","848","$1.89","$1,600","$1,600","","848","1985","25"
"","09/16/2019","Leased","10","CV19128836MR","1431","LSE","LD","1365   Crafton AVE #2122","MENTONE","3","2.00 (2 0 0 0)","944","$1.75","$1,650","$1,650","$0.00","1,104","1991","84"
"","11/01/2019","Leased","28","CV19160826MR","1640","LSE","LD","1510   Orange AVE #205","REDLANDS","2","3.00 (2 0 1 0)","1,306","$1.65","$2,150","$2,150","","1,034","2009","101"
"","09/06/2019","Leased","11","CV19202855MR","1640","LSE","LD","1312   Church ST ","REDLANDS","2","1.00 (1 0 0 0)","924","$1.73","$1,600","$1,575","","924","1972","10"
"","09/24/2019","Leased","13","CV19203634MR","1431","LSE","LD","1365   Crafton AVE #2113","MENTONE","2","1.00 (1 0 0 0)","716","$1.75","$1,250","$1,250","","897","1991","17"
"","09/12/2019","Leased","15","CV19203640MR","1431","LSE","LD","1365   Crafton AVE #1069","MENTONE","1","1.00 (1 0 0 0)","716","$1.40","$1,000","$1,000","","897","1991","24"
"","09/27/2019","Leased","42","CV19213933MR","1640","LSE","LD","1346   Church ST #36","REDLANDS","2","1.00 (1 0 0 0)","924","$1.57","$1,450","$1,500","","924","1972","17"
"","01/04/2019","Leased","12","EV18268448MR","1640","LSE","LD","357  W Grant ST #B","REDLANDS","2","1.00 (1 0 0 0)","900","$1.67","$1,500","$1,500","$0.00","5,850","1950","59"
"","01/12/2019","Leased","31","EV18268755MR","1382","LSE","LD","25683   Lawton AVE ","LOMA LINDA","3","3.00 (2 0 1 0)","1,879","$1.22","$2,300","$2,300","","1,879","1984","28"
"","04/04/2019","Leased","17","EV18283461MR","1640","LSE","LD","2061  W Redlands BLVD #22B","REDLANDS","3","3.00 (2 0 1 0)","1,444","$1.28","$1,850","$1,850","$295.00","1,444","1979","96"
"","01/07/2019","Leased","9","EV18295382MR","1431","LSE","LD","1365   Crafton AVE #1062","MENTONE","1","1.00 (1 0 0 0)","716","$1.47","$1,050","$1,050","","897","1991","13"
"","01/23/2019","Leased","8","EV18296525MR","1382","LSE","LD","10924   Evans ST ","LOMA LINDA","1","1.00 (1 0 0 0)","500","$1.99","$995","$995","$0.00","15,653","1950","27"
"","03/08/2019","Leased","30","EV19001268MR","1640","LSE","LD","119  E Cypress AVE ","REDLANDS","3","3.00 (2 0 1 0)","1,457","$1.10","$1,600","$1,600","","1,457","1965","36"
"","01/10/2019","Leased","12","EV19005643MR","1640","LSE","LD","24  W Olive AVE ","REDLANDS","1","1.00 (1 0 0 0)","700","$1.86","$1,300","$1,300","$0.00","10,200","1929","2"
"","02/04/2019","Leased","8","EV19021015MR","1431","LSE","LD","1365   Crafton AVE #1123","MENTONE","1","1.00 (1 0 0 0)","716","$1.54","$1,100","$1,100","","897","1991","7"
"","05/30/2019","Leased","6","EV19024171MR","1640","LSE","LD","89  N Center ST ","REDLANDS","2","2.00 (1 0 1 0)","1,160","$1.70","$1,975","$1,975","$225.00","1,160","1979","23"
"","02/19/2019","Leased","","EV19026194MR","1640","LSE","LD","234  E Fern AVE #106","REDLANDS","2","2.00 (2 0 0 0)","1,188","$1.26","$1,500","$1,500","","1,200","1980","10"
"","03/06/2019","Leased","10","EV19026845MR","1640","LSE","LD","1340   Church ST ","REDLANDS","2","2.00 (1 0 1 0)","975","$1.44","$1,400","$1,400","","975","1972","30"
"","03/01/2019","Leased","5","EV19026871MR","1431","LSE","LD","1365   Crafton AVE #1017","MENTONE","1","1.00 (1 0 0 0)","716","$1.54","$1,100","$1,100","$0.00","897","1991","21"
"","04/03/2019","Leased","9","EV19028553MR","1640","LSE","LD","128   Grant ST #B","REDLANDS","2","1.00 (1 0 0 0)","800","$1.75","$1,400","$1,400","$0.00","11,920","1926","54"
"","02/14/2019","Leased","14","EV19028957MR","1640","LSE","LD","909  W State ST ","REDLANDS","3","2.00 (2 0 0 0)","1,392","$1.19","$1,650","$1,650","","1,392","1979","7"
"","03/07/2019","Leased","7","EV19045555MR","1666","LSE","LD","1520   Coulston ST #24","SAN BERNARDINO","2","2.00 (2 0 0 0)","840","$1.67","$1,400","$1,400","","1,680","1984","5"
"","04/05/2019","Leased","8","EV19051374MR","1431","LSE","LD","1365   Crafton AVE #2034","MENTONE","3","2.00 (2 0 0 0)","944","$1.43","$1,350","$1,350","","1,104","1991","8"
"","04/09/2019","Leased","17","EV19053210MR","1640","LSE","LD","2061  W Redlands BLVD #14D","REDLANDS","3","3.00 (2 0 1 0)","1,444","$1.39","$2,000","$2,000","","1,444","1979","32"
"","04/01/2019","Leased","12","EV19063487MR","1640","LSE","LD","1113  W Palm  #B","REDLANDS","2","1.00 (1 0 0 0)","1,000","$1.80","$1,800","$1,800","$0.00","28,440","1906","3"
"","03/28/2019","Leased","12","EV19064517MR","1640","LSE","LD","605   Cajon ST ","REDLANDS","1","1.00 (1 0 0 0)","600","$1.75","$1,050","$1,050","$0.00","11,725","1920","6"
"","04/23/2019","Leased","12","EV19070255MR","1382","LSE","LD","11430   Benton ST ","LOMA LINDA","2","2.00 (2 0 0 0)","1,014","$1.82","$1,850","$1,850","","1,014","1975","17"
"","04/12/2019","Leased","11","EV19076547MR","1640","LSE","LD","1302  E Central AVE ","REDLANDS","2","1.00 (1 0 0 0)","1,050","$1.14","$1,195","$1,195","$0.00","16,500","1984","6"
"","05/27/2019","Leased","18","EV19088187MR","1382","LSE","LD","26200   Redlands BLVD #78","LOMA LINDA","2","2.00 (2 0 0 0)","994","$1.60","$1,595","$1,595","","3,268","1981","39"
"","05/01/2019","Leased","56","EV19089726MR","1640","LSE","LD","615  E Palm AVE ","REDLANDS","3","3.00 (2 0 1 0)","1,474","$1.32","$1,950","$1,950","$0.00","1,474","1973","12"
"","07/05/2019","Leased","26","EV19101473MR","1640","LSE","LD","127   EAST PALM LANE DR #127","REDLANDS","3","3.00 (2 0 1 0)","1,880","$1.28","$2,400","$2,400","","2,178","1975","63"
"","05/08/2019","Leased","12","EV19102737MR","1382","LSE","LD","24603   Richman DR ","LOMA LINDA","2","1.00 (1 0 0 0)","700","$1.85","$1,295","$1,295","$0.00","27,000","1958","5"
"","05/10/2019","Leased","5","EV19107148MR","1382","LSE","LD","10932   Evans ST ","LOMA LINDA","1","1.00 (1 0 0 0)","550","$1.81","$995","$995","$0.00","15,653","1950","2"
"","06/17/2019","Leased","14","EV19115846MR","1640","LSE","LD","1510   Orange AVE #503","REDLANDS","3","3.00 (2 0 1 0)","1,600","$1.31","$2,100","$2,100","","1,141","2012","13"
"","06/07/2019","Leased","16","EV19124624MR","1382","LSE","LD","11460   Benton ST ","LOMA LINDA","3","2.00 (2 0 0 0)","1,368","$1.32","$1,800","$1,800","","1,368","1975","8"
"","07/12/2019","Leased","6","EV19127892MR","1382","LSE","LD","26200   Redlands BLVD #15","LOMA LINDA","1","1.00 (1 0 0 0)","715","$1.75","$1,250","$1,250","","3,268","1981","42"
"","06/23/2019","Leased","14","EV19137862MR","1640","LSE","LD","100   Tamarisk  ","REDLANDS","3","3.00 (2 0 1 0)","1,392","$1.22","$1,700","$1,700","$225.00","","1979","3"
"","07/01/2019","Leased","10","EV19146034MR","1431","LSE","LD","1365   Crafton AVE #1046","MENTONE","1","1.00 (1 0 0 0)","716","$1.47","$1,050","$1,050","","897","1991","7"
"","08/05/2019","Leased","14","EV19148861MR","1382","LSE","LD","25810   Sunrise WAY ","LOMA LINDA","3","2.00 (2 0 0 0)","1,319","$1.59","$2,100","$2,000","","1,319","1986","21"
"","06/28/2019","Leased","7","EV19149105MR","1640","LSE","LD","248   New York ST ","REDLANDS","2","2.00 (2 0 0 0)","1,055","$1.51","$1,595","$1,595","$0.00","6,110","1979","4"
"","07/18/2019","Leased","34","EV19151422MR","1640","LSE","LD","26200   Redlands BLVD #117","REDLANDS","2","2.00 (2 0 0 0)","994","$1.60","$1,595","$1,595","","3,268","1981","22"
"","07/08/2019","Leased","10","EV19155357MR","1382","LSE","LD","10916   Evans ST ","LOMA LINDA","1","1.00 (1 0 0 0)","650","$1.53","$995","$995","$0.00","15,653","1950","7"
"","07/12/2019","Leased","8","EV19155448MR","1382","LSE","LD","10930   Evans ST ","LOMA LINDA","1","1.00 (1 0 0 0)","650","$1.53","$995","$995","$0.00","15,653","1950","11"
"","07/12/2019","Leased","10","EV19163399MR","1382","LSE","LD","10857   Mountain View AVE ","LOMA LINDA","2","2.00 (2 0 0 0)","870","$1.67","$1,450","$1,450","","2,100","1985","2"
"","07/25/2019","Leased","8","EV19164210MR","1382","LSE","LD","25714   Sunrise WAY ","LOMA LINDA","3","3.00 (2 0 1 0)","1,438","$1.36","$1,950","$1,950","","1,438","1986","14"
"","10/01/2019","Leased","10","EV19174152MR","1640","LSE","LD","357  W Grant ST #A","REDLANDS","1","1.00 (1 0 0 0)","750","$1.73","$1,300","$1,300","$0.00","5,850","1950","67"
"","08/15/2019","Leased","13","EV19182124MR","1640","LSE","LD","952   Ardmore CIR ","REDLANDS","3","2.00 (2 0 0 0)","1,362","$1.40","$1,900","$1,900","","","1982","6"
"","08/08/2019","Leased","11","EV19185503MR","1382","LSE","LD","24590   San Marcos DR #B","LOMA LINDA","2","1.00 (1 0 0 0)","900","$1.86","$1,675","$1,750","$0.00","6,325","1996","5"
"","08/13/2019","Leased","10","EV19188283MR","1640","LSE","LD","24  W Olive AVE ","REDLANDS","1","1.00 (1 0 0 0)","500","$1.90","$950","$950","$0.00","10,200","1929","2"
"","08/24/2019","Leased","16","EV19190793MR","1640","LSE","LD","141  N Center PL ","REDLANDS","3","3.00 (2 0 1 0)","1,392","$1.40","$1,950","$1,950","","1,392","1979","1"
"","09/23/2019","Leased","15","EV19205032MR","1382","LSE","LD","26200   Redlands BLVD #89","LOMA LINDA","1","1.00 (1 0 0 0)","715","$1.92","$1,375","$1,375","$262.00","3,268","1981","27"
"","09/27/2019","Leased","11","EV19209015MR","1431","LSE","LD","1365   Crafton AVE #1013","MENTONE","1","1.00 (1 0 0 0)","716","$1.54","$1,100","$1,100","","897","1991","14"
"","11/12/2019","Leased","2","EV19210003MR","1382","LSE","LD","11053   San Juan ST #2","LOMA LINDA","3","2.00 (2 0 0 0)","1,300","$1.31","$1,700","$1,700","$0.00","6,321","1980","69"
"","09/19/2019","Leased","18","EV19214221MR","1640","LSE","LD","1314   Church ST ","REDLANDS","2","2.00 (1 0 1 0)","975","$1.49","$1,450","$1,450","","975","1972","12"
"","09/20/2019","Leased","10","EV19216474MR","1640","LSE","LD","24  W Olive AVE #14","REDLANDS","1","1.00 (1 0 0 0)","500","$2.60","$1,300","$1,300","$0.00","10,200","1929","10"
"","10/01/2019","Leased","11","EV19217452MR","1431","LSE","LD","1342   Agate AVE #2B","MENTONE","2","1.00 (1 0 0 0)","700","$1.28","$895","$895","$0.00","28,000","1963","19"
"","09/26/2019","Leased","12","EV19221268MR","1640","LSE","LD","310   La Paloma ST ","REDLANDS","2","1.00 (1 0 0 0)","815","$1.63","$1,325","$1,325","$0.00","15,600","1956","10"
"","09/30/2019","Leased","2","EV19227275MR","1640","LSE","LD","1555   Orange Ave #405","REDLANDS","2","3.00 (2 0 1 0)","1,122","$1.47","$1,650","$700","","1,550","2006","4"
"","10/14/2019","Leased","34","EV19229708MR","1640","LSE","LD","93   Kansas ST #701","REDLANDS","3","3.00 (2 0 1 0)","1,451","$1.52","$2,200","$2,200","","1,451","2007","18"
"","10/25/2019","Leased","15","EV19233479MR","1640","LSE","LD","532  E Lugonia AVE #A","REDLANDS","3","2.00 (2 0 0 0)","1,000","$1.60","$1,600","$1,600","","12,015","1985","23"
"","10/08/2019","Leased","12","EV19233582MR","1640","LSE","LD","24  W Olive AVE ","REDLANDS","1","1.00 (1 0 0 0)","500","$2.60","$1,300","$1,300","$0.00","10,200","1929","5"
"","10/24/2019","Leased","22","EV19234926MR","1640","LSE","LD","631  E Palm AVE ","REDLANDS","3","3.00 (2 0 1 0)","1,474","$1.32","$1,950","$1,950","","1,474","1973","8"
"","10/25/2019","Leased","9","EV19238367MR","1640","LSE","LD","357  W Grant ST #A","REDLANDS","1","1.00 (1 0 0 0)","750","$1.73","$1,300","$1,300","$0.00","5,850","1950","10"
"","11/05/2019","Leased","14","EV19243685MR","1431","LSE","LD","1365   Crafton AVE #2057","MENTONE","3","2.00 (2 0 0 0)","944","$1.59","$1,500","$1,500","","1,104","1991","17"
"","10/30/2019","Leased","7","EV19248540MR","1382","LSE","LD","10920   Evans ST ","LOMA LINDA","1","1.00 (1 0 0 0)","550","$1.81","$995","$995","$0.00","10,000","1950","7"
"","12/06/2019","Leased","10","EV19248598MR","1382","LSE","LD","26200   Redlands BLVD #184","LOMA LINDA","2","2.00 (2 0 0 0)","994","$1.56","$1,550","$1,550","","3,268","1981","43"
"","11/01/2019","Leased","12","EV19251154MR","1640","LSE","LD","24   Grant ST ","REDLANDS","1","1.00 (1 0 0 0)","550","$2.09","$1,150","$1,150","$0.00","8,000","1930","7"
"","11/11/2019","Leased","12","EV19251498MR","1640","LSE","LD","93   Kansas ST #403","REDLANDS","2","2.00 (2 0 0 0)","1,010","$1.73","$1,750","$1,750","","1,000","2006","12"
"","12/20/2019","Leased","15","EV19261564MR","1640","LSE","LD","1169   Cornell AVE #52","REDLANDS","2","1.00 (1 0 0 0)","865","$1.50","$1,300","$1,300","","3,630","1981","40"
"","01/02/2020","Leased","21","EV19264762MR","1640","LSE","LD","87   Tennessee ST #A","REDLANDS","2","3.00 (2 0 1 0)","1,196","$1.63","$1,950","$1,950","","1,800","1982","27"
"","12/16/2019","Leased","23","EV19269977MR","1640","LSE","LD","695  E Palm AVE ","REDLANDS","3","3.00 (2 0 1 0)","1,474","$1.46","$2,150","$2,000","","1,474","1973","24"
"","12/13/2019","Leased","16","EV19271905MR","1640","LSE","LD","1555   Orange AVE #1306","REDLANDS","3","3.00 (2 0 1 0)","1,348","$1.37","$1,850","$1,850","","1,550","2005","17"
"","12/16/2019","Leased","9","EV19276914MR","1431","LSE","LD","1349 1/2  Fairview LN ","MENTONE","1","1.00 (1 0 0 0)","500","$1.79","$895","$895","$0.00","20,300","1949","7"
"","02/09/2019","Leased","11","IG18253752MR","1382","LSE","LD","25276   Barton RD #10","LOMA LINDA","1","1.00 (1 0 0 0)","12,554","$0.08","$1,050","$1,050","$0.00","34,950","1963","113"
"","02/26/2019","Leased","14","IG19017564MR","1382","LSE","LD","25276   Barton RD #8","LOMA LINDA","1","1.00 (1 0 0 0)","600","$1.83","$1,095","$1,050","$0.00","34,950","1963","33"
"","06/02/2019","Leased","10","IG19105915MR","1382","LSE","LD","25276   Barton RD #2","LOMA LINDA","1","1.00 (1 0 0 0)","600","$1.83","$1,095","$1,170","$0.00","34,950","1963","11"
