"Open Houses","Change Date","Change Type","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","01/26/2023","Leased","49","22-209001","1640","LSE","LD","711   Church Pl #2","Redlands","3","3.00 (2 0 1 0)","1,406","$1.92","$2,700","$2,700","","1,406","1986","100"
"","02/28/2023","Leased","11","AR23010681MR","1640","LSE","LD","815  E High AVE #1/2","REDLANDS","0","1.00 (1 0 0 0)","384","$3.89","$1,495","$1,495","$0.00","10,320","1902","31"
"","01/24/2023","Leased","10","CV22257463MR","1431","LSE","LD","1365   Crafton AVE #2077","MENTONE","2","1.00 (1 0 0 0)","716","$2.30","$1,650","$1,650","","897","1991","28"
"","02/24/2023","Leased","13","CV22259717MR","1640","LSE","LD","1510   Orange AVE #504","REDLANDS","2","3.00 (2 0 1 0)","1,306","$2.07","$2,700","$2,700","","1,036","2012","39"
"","05/12/2023","Leased","30","CV23060709MR","1640","LSE","LD","1510   Orange AVE #606","REDLANDS","3","3.00 (2 0 1 0)","1,600","$1.88","$3,000","$3,000","","1,143","2009","22"
"","08/11/2023","Leased","18","CV23065049MR","1640","LSE","LD","1016   Oxford DR #B","REDLANDS","2","2.00 (2 0 0 0)","1,090","$1.61","$1,750","$1,750","$0.00","12,586","1965","101"
"","09/02/2023","Leased","18","CV23117695MR","1382","LSE","LD","1965 #56  Coulston ST #56","LOMA LINDA","3","2.00 (2 0 0 0)","1,392","$1.76","$2,450","$2,450","","1,392","1982","55"
"","08/30/2023","Leased","17","CV23143978MR","1640","LSE","LD","26200   Redlands BLVD #24","REDLANDS","2","2.00 (2 0 0 0)","994","$1.94","$1,925","$1,925","","3,268","1981","10"
"","11/06/2023","Leased","21","CV23164901MR","1640","LSE","LD","254  E Fern AVE #205","REDLANDS","2","2.00 (2 0 0 0)","1,188","$2.02","$2,395","$2,395","$325.00","1,200","1980","59"
"","12/08/2023","Leased","17","CV23176503MR","1640","LSE","LD","254  E Fern AVE #106","REDLANDS","2","2.00 (2 0 0 0)","1,188","$2.00","$2,375","$2,375","","1,200","1980","73"
"","02/10/2023","Leased","6","EV22254444MR","1640","LSE","LD","1555   orange AVE ","REDLANDS","3","3.00 (2 0 1 0)","1,314","$1.79","$2,350","$2,350","","1,555","2006","0"
"","01/20/2023","Leased","12","EV22256159MR","1640","LSE","LD","1240   Tribune ST #C","REDLANDS","2","2.00 (2 0 0 0)","850","$2.03","$1,725","$1,725","$0.00","12,390","1981","36"
"","01/31/2023","Leased","17","EV23000767MR","1666","LSE","LD","1565   Coulston ST #16","SAN BERNARDINO","3","3.00 (2 0 1 0)","1,264","$2.06","$2,600","$2,600","","1,680","1984","27"
"","01/20/2023","Leased","17","EV23001624MR","1640","LSE","LD","26200   Redlands BLVD #158","REDLANDS","2","2.00 (2 0 0 0)","994","$1.71","$1,695","$1,695","","3,268","1981","16"
"","02/14/2023","Leased","6","EV23002255MR","1640","LSE","LD","1023   Herald ST #2","REDLANDS","1","1.00 (1 0 0 0)","500","$2.50","$1,250","$1,250","$0.00","6,521","1917","39"
"","02/09/2023","Leased","12","EV23007302MR","1640","LSE","LD","24  W Olive AVE #5","REDLANDS","1","1.00 (1 0 0 0)","500","$3.39","$1,695","$1,695","$0.00","10,200","1929","27"
"","01/27/2023","Leased","15","EV23008106MR","1640","LSE","LD","131   Norwood ST ","REDLANDS","3","2.00 (2 0 0 0)","1,700","$1.29","$2,200","$2,200","$0.00","9,500","1906","11"
"","03/06/2023","Leased","9","EV23010302MR","1640","LSE","LD","690  E Cypress  ","REDLANDS","2","1.00 (1 0 0 0)","779","$2.18","$1,700","$1,700","$0.00","1,000","1952","10"
"","02/10/2023","Leased","29","EV23013685MR","1640","LSE","LD","605  E Palm AVE ","REDLANDS","3","3.00 (2 0 1 0)","1,474","$1.76","$2,600","$2,600","","1,474","1973","6"
"","03/23/2023","Leased","36","EV23014301MR","1640","LSE","LD","1351   Church ST #4","REDLANDS","3","3.00 (2 0 1 0)","1,160","$2.28","$2,650","$2,650","","1,160","1985","51"
"","02/15/2023","Leased","12","EV23015454MR","1431","LSE","LD","1365   Crafton AVE #2002","MENTONE","2","1.00 (1 0 0 0)","716","$2.51","$1,800","$1,800","","897","1991","4"
