"Open Houses","Change Date","Change Type","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","05/23/2025","Leased","48","25539173","1640","LSE","LD","711   Church Pl #2","Redlands","3","3.00 (2 0 1 0)","1,406","$1.99","$2,800","$2,800","","1,406","1986","8"
"","01/29/2025","Leased","15","CV24205490MR","1382","LSE","LD","25432   Cole ST ","LOMA LINDA","2","3.00 (2 0 1 0)","6,855","$0.38","$2,600","$2,600","$0.00","16,306","2012","113"
"","05/22/2025","Leased","12","CV25028107MR","1666","LSE","LD","1317   Hardt ST ","SAN BERNARDINO","2","1.00 (1 0 0 0)","890","$2.08","$1,850","$1,850","$0.00","1,000","1964","29"
"","04/04/2025","Leased","25","CV25033637MR","1640","LSE","LD","22  S Dearborn ST ","REDLANDS","3","3.00 (2 0 1 0)","1,437","$1.88","$2,700","$2,700","","2,000","1982","15"
"","03/18/2025","Leased","14","CV25045545MR","1640","LSE","LD","26200   Redlands BLVD #20","REDLANDS","2","2.00 (2 0 0 0)","994","$1.96","$1,950","$1,950","","3,268","1981","13"
"","06/10/2025","Leased","21","CV25069472MR","1640","LSE","LD","1016   Oxford DR #1A","REDLANDS","2","2.00 (2 0 0 0)","4,360","$0.45","$1,975","$1,975","$0.00","12,586","1965","70"
"","07/24/2025","Leased","12","CV25145483MR","1640","LSE","LD","426  E Lugonia AVE #C","REDLANDS","2","2.00 (2 0 0 0)","900","$2.17","$1,950","$1,950","","900","1981","24"
"","08/27/2025","Leased","5","CV25162194MR","1431","LSE","LD","2227   Mentone  ","MENTONE","2","1.00 (1 0 0 0)","850","$2","$1,700","$1,700","$0.00","","1958","32"
"","07/27/2025","Leased","20","HD25091231MR","1640","LSE","LD","908   Lombard DR ","REDLANDS","2","1.00 (1 0 0 0)","1,137","$1.67","$1,897","$1,799","$0.00","12,100","1979","74"
"","04/14/2025","Leased","20","IG24209837MR","1640","LSE","LD","1510   Orange AVE #1006","REDLANDS","3","3.00 (2 0 1 0)","1,693","$2.07","$3,500","$3,500","","1,146","2011","187"
"","02/19/2025","Leased","12","IG24215630MR","1640","LSE","LD","1351  N Church ST #4","REDLANDS","3","3.00 (2 0 1 0)","1,160","$2.50","$2,895","$2,595","","1,160","1985","125"
"","03/13/2025","Leased","15","IG24220571MR","1640","LSE","LD","26200   Redlands BLVD #7","REDLANDS","1","1.00 (1 0 0 0)","715","$2.45","$1,750","$1,600","","3,268","1981","120"
"","04/02/2025","Leased","19","IG24233202MR","1431","LSE","LD","1365   Crafton Ave #2057","MENTONE","3","2.00 (2 0 0 0)","944","$2.01","$1,900","$1,900","","1,104","1991","121"
"","02/03/2025","Leased","12","IG24240292MR","1382","LSE","LD","25248   Van Leuven ST #1","LOMA LINDA","2","1.00 (1 0 0 0)","970","$1.75","$1,695","$1,695","$0.00","5,535","1965","57"
"","01/01/2025","Leased","6","IG24243529MR","1640","LSE","LD","600   Church PL #3","REDLANDS","3","3.00 (2 0 1 0)","1,160","$2.33","$2,700","$2,700","$0.00","","1985","10"
"","03/01/2025","Leased","15","IG24246649MR","1640","LSE","LD","128   Grant ST #B","REDLANDS","2","1.00 (1 0 0 0)","800","$2.44","$1,950","$1,950","$0.00","11,920","1926","77"
"","02/10/2025","Leased","13","IG24248276MR","1431","LSE","LD","1342   Agate AVE #1A","MENTONE","2","1.00 (1 0 0 0)","700","$2.21","$1,550","$1,550","$0.00","28,999","1963","48"
"","02/03/2025","Leased","13","IG24250039MR","1431","LSE","LD","1342   Agate AVE #1A","MENTONE","2","1.00 (1 0 0 0)","700","$2.21","$1,550","$1,550","$0.00","28,000","1963","49"
